"antibody","cell","composite","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","set_type","size","sub_id","table_name","treatment","type","view","filename","fname","url"
"c-Myc","HeLa-S3","wgEncodeOpenChromChip","wgEncodeEH000539","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-03-21#,#2009-12-21#,"wgEncodeEH000542","GSM822286","Crawford","UT-A","fseq v 1.84, iff_HelaS3","8c2fdb3ea1cca541b094847c75db51b9",,"hg18","wgEncode",,"exp","3.0G",1501,"wgEncodeOpenChromChipHelas3CmycSig","None","bigWig","Signal","wgEncodeOpenChromChipHelas3CmycSig.bigWig","wgEncodeOpenChromChipHelas3CmycSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHelas3CmycSig.bigWig"
"CTCF","HeLa-S3","wgEncodeOpenChromChip","wgEncodeEH000539","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-03-21#,#2009-12-21#,"wgEncodeEH000541","GSM822285","Crawford","UT-A","baseAlignCounts.pl v 1","07839dee5546df25753bc24b05650477",,"hg18","wgEncode",,"exp","157M",1499,"wgEncodeOpenChromChipHelas3CtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipHelas3CtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipHelas3CtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHelas3CtcfBaseOverlapSignal.bigWig"
"CTCF","HeLa-S3","wgEncodeOpenChromChip","wgEncodeEH000539","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-03-21#,#2009-12-21#,"wgEncodeEH000541","GSM822285","Crawford","UT-A","p-value cutoff: 0.05","96fd9d6f3d25f6cfd8b0b3a88de4b7b7",,"hg18","wgEncode",,"exp","1.5M",1499,"wgEncodeOpenChromChipHelas3CtcfPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipHelas3CtcfPk.narrowPeak.gz","wgEncodeOpenChromChipHelas3CtcfPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHelas3CtcfPk.narrowPeak.gz"
"CTCF","HeLa-S3","wgEncodeOpenChromChip","wgEncodeEH000539","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-03-21#,#2009-12-21#,"wgEncodeEH000541","GSM822285","Crawford","UT-A","fseq v 1.84, iff_HelaS3","c2ad03507a59f4494f225cc6ea8e0825",,"hg18","wgEncode",,"exp","4.6G",1499,"wgEncodeOpenChromChipHelas3CtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipHelas3CtcfSig.bigWig","wgEncodeOpenChromChipHelas3CtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHelas3CtcfSig.bigWig"
"Input","HeLa-S3","wgEncodeOpenChromChip","wgEncodeEH000539","ChipSeq","ENCODE June 2010 Freeze",#2010-06-18#,#2009-03-16#,#2009-12-16#,"wgEncodeEH000539","GSM822313","Crawford","UT-A","fseq v 1.84","a0586cf612d6f9498c8f9d7153f4dcaf",,"hg18","wgEncode",,"input","3.5G",1609,"wgEncodeOpenChromChipHelas3InputSig","None","bigWig","Signal","wgEncodeOpenChromChipHelas3InputSig.bigWig","wgEncodeOpenChromChipHelas3InputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHelas3InputSig.bigWig"
"Pol2","HeLa-S3","wgEncodeOpenChromChip","wgEncodeEH000539","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-12-28#,#2010-09-28#,"wgEncodeEH000597","GSM822273","Crawford","UT-A","baseAlignCounts.pl v 1","cfe43f3b2e4d38c2a05fc1d9bfc5a558",,"hg18","wgEncode",,"exp","116M",1505,"wgEncodeOpenChromChipHelas3Pol2BaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipHelas3Pol2BaseOverlapSignal.bigWig","wgEncodeOpenChromChipHelas3Pol2BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHelas3Pol2BaseOverlapSignal.bigWig"
"Pol2","HeLa-S3","wgEncodeOpenChromChip","wgEncodeEH000539","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-12-28#,#2010-09-28#,"wgEncodeEH000597","GSM822273","Crawford","UT-A","p-value cutoff: 0.05","edcfd33a19590f9c6be568e40d917e47",,"hg18","wgEncode",,"exp","2.0M",1505,"wgEncodeOpenChromChipHelas3Pol2Pk","None","narrowPeak","Peaks","wgEncodeOpenChromChipHelas3Pol2Pk.narrowPeak.gz","wgEncodeOpenChromChipHelas3Pol2Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHelas3Pol2Pk.narrowPeak.gz"
"Pol2","HeLa-S3","wgEncodeOpenChromChip","wgEncodeEH000539","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-12-28#,#2010-09-28#,"wgEncodeEH000597","GSM822273","Crawford","UT-A","fseq v 1.84, iff_HelaS3","c985a92e67392524fd9c286a911897c4",,"hg18","wgEncode",,"exp","1.8G",1505,"wgEncodeOpenChromChipHelas3Pol2Sig","None","bigWig","Signal","wgEncodeOpenChromChipHelas3Pol2Sig.bigWig","wgEncodeOpenChromChipHelas3Pol2Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHelas3Pol2Sig.bigWig"
"c-Myc","HepG2","wgEncodeOpenChromChip","wgEncodeEH000538","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-03-22#,#2009-12-22#,"wgEncodeEH000545","GSM822291","Crawford","UT-A","baseAlignCounts.pl v 1","74591ee7453fa9011cddd9b9b50f0eb6",,"hg18","wgEncode",,"exp","160M",1527,"wgEncodeOpenChromChipHepg2CmycBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipHepg2CmycBaseOverlapSignal.bigWig","wgEncodeOpenChromChipHepg2CmycBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHepg2CmycBaseOverlapSignal.bigWig"
"c-Myc","HepG2","wgEncodeOpenChromChip","wgEncodeEH000538","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-03-22#,#2009-12-22#,"wgEncodeEH000545","GSM822291","Crawford","UT-A","p-value cutoff: 0.01","d2af1dbad600c784333d1548bd30442b",,"hg18","wgEncode",,"exp","786K",1527,"wgEncodeOpenChromChipHepg2CmycPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipHepg2CmycPk.narrowPeak.gz","wgEncodeOpenChromChipHepg2CmycPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHepg2CmycPk.narrowPeak.gz"
"c-Myc","HepG2","wgEncodeOpenChromChip","wgEncodeEH000538","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-03-22#,#2009-12-22#,"wgEncodeEH000545","GSM822291","Crawford","UT-A","fseq v 1.84, iff_HepG2","75e5d29e8fd52dedd1f086ff321930f9",,"hg18","wgEncode",,"exp","2.7G",1527,"wgEncodeOpenChromChipHepg2CmycSig","None","bigWig","Signal","wgEncodeOpenChromChipHepg2CmycSig.bigWig","wgEncodeOpenChromChipHepg2CmycSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHepg2CmycSig.bigWig"
"CTCF","HepG2","wgEncodeOpenChromChip","wgEncodeEH000538","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-03-21#,#2009-12-21#,"wgEncodeEH000543","GSM822287","Crawford","UT-A","baseAlignCounts.pl v 1","b7dce093849e8bf0299298b418d92985",,"hg18","wgEncode",,"exp","96M",1517,"wgEncodeOpenChromChipHepg2CtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipHepg2CtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipHepg2CtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHepg2CtcfBaseOverlapSignal.bigWig"
"CTCF","HepG2","wgEncodeOpenChromChip","wgEncodeEH000538","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-03-21#,#2009-12-21#,"wgEncodeEH000543","GSM822287","Crawford","UT-A","p-value cutoff: 0.05","aefe60b388b602f45494cebd7fe7b00c",,"hg18","wgEncode",,"exp","1.4M",1517,"wgEncodeOpenChromChipHepg2CtcfPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipHepg2CtcfPk.narrowPeak.gz","wgEncodeOpenChromChipHepg2CtcfPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHepg2CtcfPk.narrowPeak.gz"
"CTCF","HepG2","wgEncodeOpenChromChip","wgEncodeEH000538","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-03-21#,#2009-12-21#,"wgEncodeEH000543","GSM822287","Crawford","UT-A","fseq v 1.84, iff_HepG2","d33260c7525ff41275cf26d62229b776",,"hg18","wgEncode",,"exp","4.4G",1517,"wgEncodeOpenChromChipHepg2CtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipHepg2CtcfSig.bigWig","wgEncodeOpenChromChipHepg2CtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHepg2CtcfSig.bigWig"
"Input","HepG2","wgEncodeOpenChromChip","wgEncodeEH000538","ChipSeq","ENCODE June 2010 Freeze",#2010-06-18#,#2009-03-13#,#2009-12-13#,"wgEncodeEH000538","GSM822314","Crawford","UT-A","fseq v 1.84","fdbceaaf29af05ddf745da26e4cc2f36",,"hg18","wgEncode",,"input","3.6G",1608,"wgEncodeOpenChromChipHepg2InputSig","None","bigWig","Signal","wgEncodeOpenChromChipHepg2InputSig.bigWig","wgEncodeOpenChromChipHepg2InputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHepg2InputSig.bigWig"
"Pol2","HepG2","wgEncodeOpenChromChip","wgEncodeEH000538","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-09-29#,#2010-06-29#,"wgEncodeEH000554","GSM822284","Crawford","UT-A","baseAlignCounts.pl v 1","671bc68d811082fe82c6dfd433cf6154",,"hg18","wgEncode",,"exp","149M",1526,"wgEncodeOpenChromChipHepg2Pol2BaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipHepg2Pol2BaseOverlapSignal.bigWig","wgEncodeOpenChromChipHepg2Pol2BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHepg2Pol2BaseOverlapSignal.bigWig"
"Pol2","HepG2","wgEncodeOpenChromChip","wgEncodeEH000538","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-09-29#,#2010-06-29#,"wgEncodeEH000554","GSM822284","Crawford","UT-A","p-value cutoff: 0.05","405b4330b21e58252dfa43bb6f4f244d",,"hg18","wgEncode",,"exp","3.7M",1526,"wgEncodeOpenChromChipHepg2Pol2Pk","None","narrowPeak","Peaks","wgEncodeOpenChromChipHepg2Pol2Pk.narrowPeak.gz","wgEncodeOpenChromChipHepg2Pol2Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHepg2Pol2Pk.narrowPeak.gz"
"Pol2","HepG2","wgEncodeOpenChromChip","wgEncodeEH000538","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-09-29#,#2010-06-29#,"wgEncodeEH000554","GSM822284","Crawford","UT-A","fseq v 1.84, iff_HepG2","95bc2e50be5484c40556f4ec6172a27d",,"hg18","wgEncode",,"exp","1.7G",1526,"wgEncodeOpenChromChipHepg2Pol2Sig","None","bigWig","Signal","wgEncodeOpenChromChipHepg2Pol2Sig.bigWig","wgEncodeOpenChromChipHepg2Pol2Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHepg2Pol2Sig.bigWig"
"c-Myc","HUVEC","wgEncodeOpenChromChip","wgEncodeEH000550","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-10-01#,#2010-07-01#,"wgEncodeEH000561","GSM822298","Crawford","UT-A","baseAlignCounts.pl v 1","6b7e43c82e2615417557623cf43f945e",,"hg18","wgEncode",,"exp","103M",1542,"wgEncodeOpenChromChipHuvecCmycBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipHuvecCmycBaseOverlapSignal.bigWig","wgEncodeOpenChromChipHuvecCmycBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHuvecCmycBaseOverlapSignal.bigWig"
"c-Myc","HUVEC","wgEncodeOpenChromChip","wgEncodeEH000550","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-10-01#,#2010-07-01#,"wgEncodeEH000561","GSM822298","Crawford","UT-A","p-value cutoff: 0.01","7d4ce26014fe47628cf45bf77bb5c3b2",,"hg18","wgEncode",,"exp","932K",1542,"wgEncodeOpenChromChipHuvecCmycPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipHuvecCmycPk.narrowPeak.gz","wgEncodeOpenChromChipHuvecCmycPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHuvecCmycPk.narrowPeak.gz"
"c-Myc","HUVEC","wgEncodeOpenChromChip","wgEncodeEH000550","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-10-01#,#2010-07-01#,"wgEncodeEH000561","GSM822298","Crawford","UT-A","fseq v 1.84, iff_HUVEC","10293e34b061c92348c8eeb2c40b2795",,"hg18","wgEncode",,"exp","3.0G",1542,"wgEncodeOpenChromChipHuvecCmycSig","None","bigWig","Signal","wgEncodeOpenChromChipHuvecCmycSig.bigWig","wgEncodeOpenChromChipHuvecCmycSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHuvecCmycSig.bigWig"
"CTCF","HUVEC","wgEncodeOpenChromChip","wgEncodeEH000550","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-09-25#,#2010-06-25#,"wgEncodeEH000551","GSM822279","Crawford","UT-A","baseAlignCounts.pl v 1","3f9125377300a4366db589d1b6105ee1",,"hg18","wgEncode",,"exp","141M",1537,"wgEncodeOpenChromChipHuvecCtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipHuvecCtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipHuvecCtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHuvecCtcfBaseOverlapSignal.bigWig"
"CTCF","HUVEC","wgEncodeOpenChromChip","wgEncodeEH000550","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-09-25#,#2010-06-25#,"wgEncodeEH000551","GSM822279","Crawford","UT-A","p-value cutoff: 0.05","822b039ee9aa4e2e5c8813657c2a970f",,"hg18","wgEncode",,"exp","1.1M",1537,"wgEncodeOpenChromChipHuvecCtcfPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipHuvecCtcfPk.narrowPeak.gz","wgEncodeOpenChromChipHuvecCtcfPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHuvecCtcfPk.narrowPeak.gz"
"CTCF","HUVEC","wgEncodeOpenChromChip","wgEncodeEH000550","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-09-25#,#2010-06-25#,"wgEncodeEH000551","GSM822279","Crawford","UT-A","fseq v 1.84, iff_HUVEC","70630558c58e252c96f1ed6a4c7b420d",,"hg18","wgEncode",,"exp","3.6G",1537,"wgEncodeOpenChromChipHuvecCtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipHuvecCtcfSig.bigWig","wgEncodeOpenChromChipHuvecCtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHuvecCtcfSig.bigWig"
"Input","HUVEC","wgEncodeOpenChromChip","wgEncodeEH000550","ChipSeq","ENCODE June 2010 Freeze",#2010-06-18#,#2009-09-24#,#2010-06-24#,"wgEncodeEH000550","GSM822280","Crawford","UT-A","fseq v 1.84","4ca75b710935db81dc09a4f2a9d5cecc",,"hg18","wgEncode",,"input","4.1G",1607,"wgEncodeOpenChromChipHuvecInputSig","None","bigWig","Signal","wgEncodeOpenChromChipHuvecInputSig.bigWig","wgEncodeOpenChromChipHuvecInputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHuvecInputSig.bigWig"
"Pol2","HUVEC","wgEncodeOpenChromChip","wgEncodeEH000550","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-09-28#,#2010-06-28#,"wgEncodeEH000552","GSM822306","Crawford","UT-A","baseAlignCounts.pl v 1","d93b6d9a8f45fec2722b7077f4ebe844",,"hg18","wgEncode",,"exp","121M",1540,"wgEncodeOpenChromChipHuvecPol2BaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipHuvecPol2BaseOverlapSignal.bigWig","wgEncodeOpenChromChipHuvecPol2BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHuvecPol2BaseOverlapSignal.bigWig"
"Pol2","HUVEC","wgEncodeOpenChromChip","wgEncodeEH000550","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-09-28#,#2010-06-28#,"wgEncodeEH000552","GSM822306","Crawford","UT-A","p-value cutoff: 0.05","b77f6a78edd00ce73c3c9d4bdee43cbc",,"hg18","wgEncode",,"exp","2.4M",1540,"wgEncodeOpenChromChipHuvecPol2Pk","None","narrowPeak","Peaks","wgEncodeOpenChromChipHuvecPol2Pk.narrowPeak.gz","wgEncodeOpenChromChipHuvecPol2Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHuvecPol2Pk.narrowPeak.gz"
"Pol2","HUVEC","wgEncodeOpenChromChip","wgEncodeEH000550","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-09-28#,#2010-06-28#,"wgEncodeEH000552","GSM822306","Crawford","UT-A","fseq v 1.84, iff_HUVEC","62b70e1aee65e9e41e4717139f88343b",,"hg18","wgEncode",,"exp","1.8G",1540,"wgEncodeOpenChromChipHuvecPol2Sig","None","bigWig","Signal","wgEncodeOpenChromChipHuvecPol2Sig.bigWig","wgEncodeOpenChromChipHuvecPol2Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHuvecPol2Sig.bigWig"
"c-Myc","K562","wgEncodeOpenChromChip","wgEncodeEH000529","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-02-27#,#2009-11-27#,"wgEncodeEH000536","GSM822310","Crawford","UT-A","baseAlignCounts.pl v 1","b3051f4439559401743c547b289d4f56",,"hg18","wgEncode",,"exp","179M",1543,"wgEncodeOpenChromChipK562CmycBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipK562CmycBaseOverlapSignal.bigWig","wgEncodeOpenChromChipK562CmycBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipK562CmycBaseOverlapSignal.bigWig"
"c-Myc","K562","wgEncodeOpenChromChip","wgEncodeEH000529","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-03-20#,#2009-12-20#,"wgEncodeEH000536","GSM822310","Crawford","UT-A","p-value cutoff: 0.01","286efa162c05702c48d2945e6062b946",,"hg18","wgEncode",,"exp","672K",1543,"wgEncodeOpenChromChipK562CmycPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipK562CmycPk.narrowPeak.gz","wgEncodeOpenChromChipK562CmycPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipK562CmycPk.narrowPeak.gz"
"c-Myc","K562","wgEncodeOpenChromChip","wgEncodeEH000529","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-02-27#,#2009-11-27#,"wgEncodeEH000536","GSM822310","Crawford","UT-A","fseq v 1.84, iff_K562","ac8a6c353b4fdbf087f31e54f56643f5",,"hg18","wgEncode",,"exp","2.7G",1543,"wgEncodeOpenChromChipK562CmycSig","None","bigWig","Signal","wgEncodeOpenChromChipK562CmycSig.bigWig","wgEncodeOpenChromChipK562CmycSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipK562CmycSig.bigWig"
"CTCF","K562","wgEncodeOpenChromChip","wgEncodeEH000529","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-02-27#,#2009-11-27#,"wgEncodeEH000535","GSM822311","Crawford","UT-A","baseAlignCounts.pl v 1","9dccab6eae0c53c747788ef69a6e8ede",,"hg18","wgEncode",,"exp","161M",1538,"wgEncodeOpenChromChipK562CtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipK562CtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipK562CtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipK562CtcfBaseOverlapSignal.bigWig"
"CTCF","K562","wgEncodeOpenChromChip","wgEncodeEH000529","ChipSeq","ENCODE June 2010 Freeze",#2011-01-12#,#2009-03-20#,#2009-12-20#,"wgEncodeEH000535","GSM822311","Crawford","UT-A","p-value cutoff: 0.05","984abaf5e5a6fa22237906bc107644ac",,"hg18","wgEncode",,"exp","1.5M",1538,"wgEncodeOpenChromChipK562CtcfPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipK562CtcfPk.narrowPeak.gz","wgEncodeOpenChromChipK562CtcfPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipK562CtcfPk.narrowPeak.gz"
"CTCF","K562","wgEncodeOpenChromChip","wgEncodeEH000529","ChipSeq","ENCODE June 2010 Freeze",#2011-01-12#,#2009-02-27#,#2009-11-27#,"wgEncodeEH000535","GSM822311","Crawford","UT-A","fseq v 1.84, iff_K562","71923247a2a46e312b55a484700e8f5e",,"hg18","wgEncode",,"exp","3.3G",1538,"wgEncodeOpenChromChipK562CtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipK562CtcfSig.bigWig","wgEncodeOpenChromChipK562CtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipK562CtcfSig.bigWig"
"Input","K562","wgEncodeOpenChromChip","wgEncodeEH000529","ChipSeq","ENCODE June 2010 Freeze",#2010-06-18#,#2008-12-05#,#2009-08-05#,"wgEncodeEH000529","GSM822293","Crawford","UT-A","fseq v 1.84","782bf5a344f4a710fe91b369b1d9ee71",,"hg18","wgEncode",,"input","4.3G",1606,"wgEncodeOpenChromChipK562InputSig","None","bigWig","Signal","wgEncodeOpenChromChipK562InputSig.bigWig","wgEncodeOpenChromChipK562InputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipK562InputSig.bigWig"
"Pol2","K562","wgEncodeOpenChromChip","wgEncodeEH000529","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-09-29#,#2010-06-29#,"wgEncodeEH000555","GSM822275","Crawford","UT-A","baseAlignCounts.pl v 1","d1210e4a2aaf005be098667cc80e4208",,"hg18","wgEncode",,"exp","182M",1541,"wgEncodeOpenChromChipK562Pol2BaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipK562Pol2BaseOverlapSignal.bigWig","wgEncodeOpenChromChipK562Pol2BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipK562Pol2BaseOverlapSignal.bigWig"
"Pol2","K562","wgEncodeOpenChromChip","wgEncodeEH000529","ChipSeq","ENCODE June 2010 Freeze",#2011-01-12#,#2009-09-29#,#2010-06-29#,"wgEncodeEH000555","GSM822275","Crawford","UT-A","p-value cutoff: 0.05","cce54edb5e2bd0631db9d67b6025055e",,"hg18","wgEncode",,"exp","2.9M",1541,"wgEncodeOpenChromChipK562Pol2Pk","None","narrowPeak","Peaks","wgEncodeOpenChromChipK562Pol2Pk.narrowPeak.gz","wgEncodeOpenChromChipK562Pol2Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipK562Pol2Pk.narrowPeak.gz"
"Pol2","K562","wgEncodeOpenChromChip","wgEncodeEH000529","ChipSeq","ENCODE June 2010 Freeze",#2011-01-12#,#2009-09-29#,#2010-06-29#,"wgEncodeEH000555","GSM822275","Crawford","UT-A","fseq v 1.84, iff_K562","5bb41aa2179a19a05518a75aea37e446",,"hg18","wgEncode",,"exp","2.5G",1541,"wgEncodeOpenChromChipK562Pol2Sig","None","bigWig","Signal","wgEncodeOpenChromChipK562Pol2Sig.bigWig","wgEncodeOpenChromChipK562Pol2Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipK562Pol2Sig.bigWig"
